simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features
0,0.8537012702584319,"3,6,7,10,16",0.8624616732369689,"3,6,7,9,10,16",0.8677179150240911,"7,16,3,13,9,10,8,1,6",0.8396846254927727,"7,16,3,13,9,10",0.8742882172579939,"1,3,6,7,8,9,10,12,13,15,16"
1,0.8465533522190746,"1,6,7,9,10",0.8583569405099151,"1,6,7,9,10,15,16",0.8692162417374882,"10,9,7,16,15,1,6,12",0.8474976392823418,"10,9,7,16,15,1",0.8687440982058546,"1,5,6,7,9,10,12,15,16"
2,0.8523206751054853,"1,6,7,9,10,16",0.8523206751054853,"1,3,6,7,9,10,16",0.8626347866854196,"7,6,1,12,16,15,8,10",0.8368495077355836,"7,6,1,12,16",0.8654477262072199,"1,3,6,7,8,9,10,12,15,16"
3,0.8212605832549389,"6,7,9,10,15,16",0.8198494825964252,"3,6,7,9,10,15,16",0.8029162746942615,"7,16,9,15,2,6",0.7888052681091251,"7,16,9,15,2",0.8113828786453434,"3,6,7,9,10,15,16"
4,0.8289611752360966,"1,7,9,15,16",0.8478488982161595,"1,3,6,7,9,10,15,16",0.8467995802728226,"7,16,6,1,12,15,9",0.8426023084994754,"7,16,6,1,12",0.8593913955928646,"1,3,6,7,9,10,12,15,16"
5,0.7954755309325946,"1,7,9,10,15,16",0.7982456140350878,"1,3,6,7,9,10,15,16",0.7954755309325946,"7,16,6,1,12,15,9,10",0.7825484764542936,"7,16,6,1,12,15,9",0.7968605724838412,"1,3,5,6,7,9,10,12,13,14,15,16"
6,0.8572086596038692,"1,6,7,9,10,16",0.8539843390142792,"1,3,6,7,9,10,16",0.8447719944725933,"7,16,9,1,6,2,8,10",0.8314140948871488,"7,16,9,1,6",0.8512206356517734,"1,3,6,7,8,9,10,12,15,16"
7,0.8111762054979721,"1,3,7,10",0.8210905813429473,"1,3,4,5,6,7,9,10,16",0.8228931951329428,"7,3,1,10,4,5,12",0.7990085624155024,"7,3,1,10,4",0.8382154123479044,"1,3,4,5,6,7,9,10,16"
8,0.8255869669381888,"1,6,7,9,10,16",0.8246286535697173,"1,6,7,9,10,16",0.8294202204120747,"7,16,6,1,9,12,8,13,10",0.8021082894106373,"7,16,6,1",0.8346909439386679,"1,6,7,9,10,15,16"
9,0.7963231736816643,"6,7,9,16",0.810836961780358,"6,7,9,10,12,16",0.8118045476536042,"7,6,16,12,1,9,15,14",0.8127721335268505,"7,6,16,12,1",0.8330914368650217,"0,1,2,6,7,8,9,10,12,13,14,15,16"
10,0.7899436090225563,"6,7,9,10,16",0.8026315789473685,"1,4,6,7,9,10,15,16",0.793703007518797,"7,16,9,10,6,2,15,8",0.7894736842105263,"7,16,9,10,6",0.8021616541353384,"1,2,4,6,7,8,9,10,12,15,16"
11,0.8509949097639982,"3,7,9,10,15,16",0.8583988894030541,"1,3,4,7,9,10,15,16",0.8533086534012031,"7,3,1,10",0.8533086534012031,"7,3,1,10",0.8597871355853771,"1,3,4,7,8,9,10,12,13,15,16"
